phrase,target
 up from a loss of EUR 4.0 mn in the second quarter of 2009 ,positive
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 ,positive
 and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki ,positive
Net sales revenue per passenger is expected to increase ,positive
The transactions would increase earnings per share in the first quarter by some EUR0 .28 ,positive
 compared to a loss of EUR 12.7 mn in the corresponding period in 2009 ,positive
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 ,positive
 giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA ,positive
 while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m ,positive
 to 256.88 million litres from 245.92 million litres in 2004 ,positive
 up 30.8 % from the corresponding period in 2005 ,positive
 the company 's Board of Directors is very satisfied with Viking Line 's performance ,positive
That would be an increase from estimated sales of 117 million last year ,positive
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn ,positive
 said dealers ,positive
 both in terms of technology and pricing ,positive
 of the sales came from the acquisitions made in 2009 ,positive
 saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts ,positive
It estimates the operating profit to further improve from the third quarter ,positive
 EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators ,positive
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 ,positive
 an increase of 11.2 % from a year earlier ,positive
 compared to a negative EUR 68.6 mn in the second quarter of 2008 ,positive
Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India ,positive
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 ,positive
Our standardised services have met with a positive reception among our customers as well as at Itella ,positive
 from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 ,positive
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 ,positive
 the Finnish company said Thursday ,positive
 and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 ,positive
 the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted ,positive
 the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 ,positive
 the proportion of the paid standing orders grew in 2009 ,positive
The company 's market share is continued to increase further ,positive
000 for the corresponding period of 2006 ,positive
Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before ,positive
000 in the corresponding period in 2005 ,positive
 according to TeliaSonera estimates ,positive
 BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation ,positive
 and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 ,positive
408 mn ,positive
 the company said earlier ,positive
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million ,positive
455.1 mn in 2006 ,positive
 up from EUR 37.3 mn in the corresponding period in 2008 ,positive
 posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters ,positive
 to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods ,positive
 as compared to the corresponding period in 2005 ,positive
 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 ,positive
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m ,positive
The agreement strengthens our long-term partnership with Nokia Siemens Networks ,positive
`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . ',positive
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 ,positive
 compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 ,positive
 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the ,positive
 and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 ,positive
 and above market expectations of 0.28 eur ,positive
 the previous year ,positive
 up from an operating loss of EUR 0.8 mn year-on-year ,positive
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 ,positive
Sales of security and system packaging increased slightly ,positive
Sports equipment sales also progressed well owing to the prolonged winter season ,positive
 narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago ,positive
 the number of outlets will rise to 60-70 ,positive
 an increase over EPS of EUR1 .12 in 2008 ,positive
Earnings per share EPS rose to EUR 0.11 from EUR 0.03 ,positive
 pre-tax profit surged 45 % to EUR80m ,positive
Finnish Bank of +ï¿½land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 ,positive
 OKO said ,positive
 its market share rose to 49.14 percent from 48.51 percent a year earlier ,positive
 supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations ,positive
000 net loss in the fiscal 2004-05 ,positive
 up from a loss of EUR 19mn a year earlier ,positive
 up from the 0.20 eur of the same quarter a year earlier ,positive
 the deal is likely to bring savings of EUR 20mn-25mn ,positive
The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific ,positive
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market ,positive
Net sales surged by 30 % to EUR 36 million ,positive
 CEO of Aspo ,positive
Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 ,positive
 from 256.88 million liters sold in 2005 ,positive
`` Demand for sports equipment was good in 2005 ,positive
 with international orders amounting to 365 mln euro $ 534.3 mln ,positive
8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 ,positive
Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects ,positive
 Head of YIT International Construction Services ,positive
 as of fiscal year 2008 ,positive
 compared to a loss of EUR 0.3 mn in the corresponding period in 2009 ,positive
Its market share widened to 48.51 percent from 48.31 percent a year earlier ,positive
 as compared with EUR472m in 2008 ,positive
 dealers said ,positive
 has signed a framework agreement for a long term strategic relationship with ISE ,positive
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million ,positive
 while demand in the Baltics remained weak ,positive
Turnover rose to EUR21m from EUR17m ,positive
 up from EUR 23.5 mn year-on-year ,positive
The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 ,positive
 the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 ,positive
Pretax profit jumped to EUR 21.9 million from EUR 3.1 million ,positive
 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group ,positive
 respectively ,positive
 from (  x20ac ) 40.8 million a year earlier ,positive
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros ,positive
The EPS improved to EUR0 .38 from EUR0 .27 ,positive
 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 ,positive
 CEO of Papa John 's Russia ,positive
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) ,positive
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site ,positive
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 ,positive
000 tonnes in 2009 ,positive
 that it has sufficient financial instruments at its disposal for its potential capital requirements ,positive
 up from 48.6 mln on the back of strong sales ,positive
 compared to $ 10.46 - bbl in the prior year ,positive
 or by 6 % at comparable currency rates growth ,positive
 while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % ,positive
 and the overall growth of its business ,positive
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier ,positive
 the effect of which was EUR10 .9 m in the review period ,positive
 as compared to the corresponding period in 2006 ,positive
Viking Line manages well with its current ferries ,positive
 SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share ,positive
 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) ,positive
 up from EUR 138.4 mn ,positive
 up from EUR 101.0 mn in 2008 ,positive
 the airline reported Tuesday ,positive
 Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 ,positive
 and that favourable trends in net sales will lead to a profit in 2009 ,positive
 up from EUR 43.3 mn in the second quarter of 2009 ,positive
 up from 0.33 eur a year ago and ahead of forecast of 0.33 eur ,positive
000 from EUR7 .4 m for the corresponding period of 2009 ,positive
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 ,positive
 or by 6 % at comparable currency rates growth ,positive
 up from EUR 96.4 mn ,positive
027.0 mn in the fourth quarter of 2007 ,positive
Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India ,positive
The company expects net sales to significantly increase from 2009 ,positive
 up from EUR 1.3 mn ,positive
 the Lithuanian Brewers ' Association reporting citing the results from its members ,positive
HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. ,positive
Construction volumes meanwhile grow at a rate of 10-15 percent annually ,positive
Revenues at the same time grew 14 percent to 43 million euros ,positive
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn ,positive
 up by about 5 % from the third quarter of 2006 ,positive
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 ,positive
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London ,positive
 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 ,positive
 an increase of 20 % year-on-year EUR0 .25 ,positive
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 ,positive
 which made 2007 a record year ,positive
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 ,positive
Operating profit rose to 22.1 mln eur from 19.9 mln ,positive
 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share ,positive
 a rise of 4.5 per cent from the year-earlier figure of 245.92 million liters ,positive
 representing an increase of 32 % from the corresponding period in 2009 ,positive
 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm ,positive
 Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work ,positive
The actions are expected to deliver annual cost savings of some EUR15-20m ,positive
 representing 9.7 % of net sales ,positive
The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % ,positive
 boosted its sales last year 22.3 per cent to 36.4 million liters ,positive
 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezue,positive
Exports grew 16.5 percent to 19.1 million liters ,positive
Uponor improved its performance in spite of the decrease in residential construction in the US ,positive
 up from the loss of EUR0 .083 ,positive
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 ,positive
 as compared to the financial year 2004 ,positive
Orion Pharma 's operating profit increased by 42.5 % from 2004 ,positive
 compared to a negative EUR 0.83 mn in the corresponding period in 2008 ,positive
Profit for the period was EUR 15.6 mn compared to EUR 14.1 mn in 2007 ,positive
 up slightly from EUR 37.2 mn in the corresponding period in 2006 ,positive
`` The combined activities will create value for shareholders and be good for our employees and customers ,positive
 compared with EUR 54.3 mn a year earlier ,positive
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies ,positive
 with better pricing seen carrying through the second quarter of 2006 ,positive
The Department Store Division reported an increase in sales of 4 per cent ,positive
 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom ,positive
 '' Chief Executive Jussi Pesonen said ,positive
Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn ,positive
000 ) for the same period of 2006 ,positive
The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million ,positive
0,positive
 along with high-growth products ,positive
27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) ,positive
 will make the company 's operations more profitable ,positive
000 from EUR 1.5 million in the same period of 2009 ,positive
 compared to a negative 4.1 % in 2009 ,positive
 up from EUR -0.3 mn year-on-year ,positive
It will also strengthen Ruukki 's offshore business ,positive
 an increase by one-tenth over the preceding year ,positive
 year-on-year ,positive
 an increase of 23 % over 2006 ,positive
0,positive
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout ,positive
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 ,positive
 the company anticipated its operating profit to improve over the same period ,positive
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 ,positive
 in afternoon trade ,positive
 up from EUR 33.9 mn in the corresponding period in 2006 ,positive
 compared to a loss of EUR 2.2 mn in the first quarter of 2005 ,positive
15 December 2010 - Finnish-German telecoms equipment maker Nokia Siemens Networks said today it won a contract to upgrade the radio network of home-based telecommunications company Elisa Oyj HEL : ELI1V ,positive
 expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete ,positive
` By separating side businesses we will be able to faster expand and develop Tapro retail network ,positive
1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 ,positive
Finnish consumer packaging manufacturer Huhtamaki Oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net loss of 2.6 mln euro $ 3.3 mln in the same period of 2005 ,positive
The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 ,positive
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 ,positive
 and operating profit by 34.9 % to EUR 23.5 mn ,positive
 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 5,positive
 increase from 2005 ,positive
Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million ,positive
 or a 25.3 pct increase year on year ,positive
 as compared to the corresponding period in 2005 ,positive
Passenger volumes rose by 8.4 % in the accounting period ,positive
 CEO Sakari Tamminen said ,positive
Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure ,positive
 up from EUR 23.0 mn ,positive
Operating profit margin increased from 11.2 % to 11.7 % ,positive
 compared to 2007 ,positive
Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005 ,positive
Marimekko Group 's full-year net sales are estimated to increase by about 10 % ,positive
 the company currently anticipates net sales to increase and the operating result to be positive ,positive
000 for the same period of 2009 ,positive
 the broker gave an `` outperform '' recommendation on the stock ,positive
 which Ruukki will recognize during the fourth quarter of this year ,positive
Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives ,positive
EPS grew to 0.04 eur from 0.02 eur ,positive
 as compared to the corresponding period in 2005 ,positive
 up from EUR 32.7 mn in 2009 ,positive
 which was 36 % more than in 2004 ,positive
 from an EUR9 .6 m loss a year earlier ,positive
Performance in the second half of 2009 exceeded expectations ,positive
 the company 's Swedish operations significantly improved in the first quarter ,positive
 up from EUR 29.6 mn a year earlier ,positive
The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million ,positive
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ,positive
000 in the corresponding period a year earlier ,positive
Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board ,positive
 up from EUR97m in the previous year ,positive
 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of ,positive
 up 45 % from the corresponding period in 2005 ,positive
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory ,positive
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 ,positive
Sales increased due to growing market rates and increased operations ,positive
 Chief Technology Officer at Benefon ,positive
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased ,positive
 Bulgaria ,positive
 which is 20 times more that in 2004 ,positive
 western Sweden ,positive
Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 ,positive
 and the operating margin rose to 12.2 % ,positive
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter ,positive
 up from EUR 6.0 mn in 2004 ,positive
 and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 ,positive
The acquisition will have an immediate positive impact on Aspocomp 's financial result ,positive
Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn ,positive
The policy was also aimed at making the companies more profitable and competitive ,positive
 up from EUR 0.87 ,positive
 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy ,positive
Return on capital employed rose by 4.8 percentage points to 19.6 % ,positive
This resulted in improved sales figures in Sweden ,positive
 '' says development manager Juha Malkia from VR Cargo ,positive
000 for 2008 versus a net loss of EUR 65.3 millio,positive
070.6 mn ,positive
`` I am extremely delighted with this project and the continuation of cooperation with Viking Line ,positive
Net sales of Finnish food industry company L+ï¿½nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 ,positive
Diluted EPS rose to EUR3 .68 from EUR0 .50 ,positive
000 for the same period of 2009 ,positive
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier ,positive
It also said its third quarter diluted EPS came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago ,positive
 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian miner,positive
20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 ,positive
Operating profit improved to EUR 20.3 mn from EUR 11.4 mn ,positive
 up from EUR 0.5 mn in the corresponding period in 2009 ,positive
 but also strengthen our capability to offer industry-leading products for our customers in China . ',positive
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % ,positive
The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % ,positive
0,positive
The company moved to an operating profit of EUR10 .9 m versus an operating loss of EUR15 .3 m. It also turned to EPS of EUR0 .08 versus loss per share of EUR0 .04 ,positive
000 in 2009 and it lifted its dividend proposal ,positive
 however ,positive
 compared with last year 's 0.12 eur ,positive
 said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila ,positive
 posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres ,positive
 compared to 13.1 % in the previous-year period ,positive
The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 ,positive
 starting from fiscal year 2007 ,positive
These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 ,positive
 CEO Pekka Eloholma said ,positive
Cargo volume increased by approximately 5 % ,positive
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 ,positive
 and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 ,positive
 director Paul Skogberg said ,positive
 Affarsvarlden said ,positive
 as compared to the corresponding period in 2005 ,positive
Operating profit of the Asian plants grew markedly ,positive
 as compared to the corresponding period in 2005 ,positive
Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia ,positive
EBIT margin was up from 1.4 % to 5.1 % ,positive
 up from EUR 164.7 mn ,positive
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 ,positive
`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies ,positive
 as compared to the financial year 2004 ,positive
The value of the firm 's forestry holdings increased by SEK 3.6 bn ,positive
 up from EUR 763mn in 2004 ,positive
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 ,positive
 `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year ,positive
The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009 ,positive
 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow ,positive
Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier ,positive
 up from the loss of EUR0 .02 ,positive
 the company said Thursday ,positive
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 ,positive
 up from EUR3 .3 m in the corresponding period in 2007 ,positive
 and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 ,positive
The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 ,positive
 from 6.1 million litas in 2004 ,positive
 the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 ,positive
000 in the same period of 2005 ,positive
 as compared to the corresponding period in 2007 ,positive
Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million ,positive
 compared to EUR -0.4 mn the previous year ,positive
 Nordic Aluminium 's order book stood at EUR 8.77 mn compared to EUR 7.04 in 2005 ,positive
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn ,positive
 by focusing on its profitable core operations ,positive
 up from EUR 54.9 mn in the corresponding period in 2009 ,positive
 the company 's operating profit grew by 43.2 % to EUR 6 million ,positive
 Malaysia ,positive
 and order books are strong to the end of the year ,positive
 the value of the company 's orders has gone up to EUR 1.9 bn in 12 months ,positive
 the mark-to-market result was a pretax profit of EUR 133 million versus a loss of EUR 32 million in the same period last year ,positive
`` The trend in the sports and leisure markets was favorable in the first months of the year ,positive
 an increase of 10.8 pct year-on-year ,positive
Olvi has posted a strong set of figures for the first six months of this year ,positive
 at comparable exchange rates ,positive
The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 ,positive
 shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month ,positive
 as the number of chargers delivered went up by 41 % to 65.9 million pieces ,positive
Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago ,positive
 as compared to the corresponding period in 2006 ,positive
 saw sales grow by 17.1 pct ,positive
Olvi expects sales and market share to increase in the first quarter of 2010 ,positive
 up from EUR6 .1 m in the corresponding period in 2007 ,positive
Unit costs for flight operations fell by 6.4 percent ,positive
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 ,positive
 said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago ,positive
 was up 34.9 % in August compare to last year ,positive
 a rise of 20.4 percent from 12.49 million euros in 2004 ,positive
007 in the corresponding period in 2005 ,positive
 up from a loss of EUR 1.7 mn in the fourth quarter of 2009 ,positive
000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier ,positive
 up 9.7 % on the same period in 2009 ( EUR61 .9 m ) ,positive
Earnings per share were higher at 0.48 against 0.37 a year before and ahead of market consensus of 0.40 eur ,positive
 net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 ,positive
116 cargo units ,positive
 says the situation looks promising from their viewpoint ,positive
Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn ,positive
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement ,positive
 Finland based company has awarded contract for specialist agricultural or forestry machinery ,positive
in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year ,positive
Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 ,positive
 up from EUR -0.7 mn ,positive
 United Arab Emirates and Qatar worth 40 mln eur ,positive
The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 ,positive
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn ,positive
 this makes Nokia 's portfolio competitive again ,positive
 the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 ,positive
 and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 ,positive
 as compared to 2005 ,positive
28 October 2010 - Finnish wood products technology supplier Raute Oyj HEL : RUTAV said today it swung to a net profit of EUR3m for the first nine months of 2010 versus a net loss of EUR5 .2 m for the same period a year earlier ,positive
Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 ,positive
 surpassing the 953 mln eur consensus figure ,positive
With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients ,positive
Sales have risen in other export markets ,positive
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago ,positive
Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 ,positive
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 ,positive
Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier ,positive
 head of Specialty Stainless ,positive
 the chairman of the UK snacks firm told just-food today 10 February ,positive
 said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. ,positive
This new partnership agreement represents a significant milestone for both parties ,positive
